目的地,日期,總金額,旅程日期,Rank
沖繩,2024-01-07,4698,2,Top1
釜山,2024-01-10,4898,2,Top2
濟州,2024-01-09,5298,2,Top3
沖繩,2024-02-21,4898,2,Top1
釜山,2024-02-18,5298,2,Top2
仁川,2024-02-18,6098,2,Top3
仁川,2024-03-17,3998,2,Top1
沖繩,2024-03-18,5198,2,Top2
釜山,2024-03-06,5698,2,Top3
仁川,2024-04-23,3998,2,Top1
釜山,2024-04-14,5298,2,Top2
福岡,2024-04-23,5698,2,Top3
仁川,2024-05-20,4598,2,Top1
釜山,2024-05-19,5498,2,Top2
沖繩,2024-05-13,6198,2,Top3
仁川,2024-06-24,4598,2,Top1
釜山,2024-06-12,4898,2,Top2
濟州,2024-06-18,5998,2,Top3
仁川,2024-07-18,4898,2,Top1
釜山,2024-07-17,5198,2,Top2
濟州,2024-07-26,6798,2,Top3
仁川,2024-08-28,4598,2,Top1
釜山,2024-08-28,5198,2,Top2
濟州,2024-08-27,5198,2,Top3
仁川,2024-09-24,4598,2,Top1
福岡,2024-09-30,4798,2,Top2
釜山,2024-09-21,4898,2,Top3
仁川,2024-10-24,4598,2,Top1
福岡,2024-10-24,4798,2,Top2
釜山,2024-10-06,5198,2,Top3
沖繩,2024-01-07,4698,3,Top1
釜山,2024-01-11,4898,3,Top2
仁川,2024-01-08,6198,3,Top3
沖繩,2024-02-20,4898,3,Top1
釜山,2024-02-19,5698,3,Top2
仁川,2024-02-18,6098,3,Top3
仁川,2024-03-12,3998,3,Top1
沖繩,2024-03-12,5498,3,Top2
濟州,2024-03-06,6198,3,Top3
仁川,2024-04-22,3998,3,Top1
釜山,2024-04-22,5298,3,Top2
濟州,2024-04-10,5698,3,Top3
仁川,2024-05-28,4598,3,Top1
釜山,2024-05-09,5498,3,Top2
濟州,2024-05-15,5998,3,Top3
仁川,2024-06-26,4598,3,Top1
釜山,2024-06-17,5198,3,Top2
濟州,2024-06-19,5198,3,Top3
仁川,2024-07-29,4598,3,Top1
釜山,2024-07-29,5198,3,Top2
濟州,2024-07-31,5598,3,Top3
仁川,2024-08-06,4598,3,Top1
釜山,2024-08-31,5198,3,Top2
濟州,2024-08-28,5198,3,Top3
仁川,2024-09-23,4598,3,Top1
福岡,2024-09-30,4798,3,Top2
濟州,2024-09-25,5198,3,Top3
